Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Romania,8.3,8.3,7.5,8.2,8.1,8.8,8.6,9.3,9.1,10.0,10.4,11.9,12.7,13.9,14.6,13.6 ,Infections
Russian Federation,,,,,20.6,20.6,20.8,21.2,21.1,21.9,23.8,22.6,22.8,22.8,22.2,22.9 ,Infections
Saint Kitts and Nevis,,,,,,,,,,,,,,,, ,Infections
Saint Lucia,,,,,,,,,,,,,,,, ,Infections
Saint Pierre and Miquelon,,,,,,,,,,,,,,,, ,Infections
Saint Vincent and Grenadines,,,,,,,,,,,,,,,, ,Infections
San Marino,,,,,,,,,,,,,,,, ,Infections
Sao Tome and Principe,,,,,,,,,,,,,,,, ,Infections
Saudi Arabia,,,,,,,,,,,,,,,, ,Infections
Serbia,,4.1,4.3,3.4,3.5,3.7,3.5,3.2,3.7,3.9,4.9,4.6,5.0,4.8,4.8,5.6 ,Infections
Seychelles,,,,,,,,,,,,,,,, ,Infections
Singapore,3.3,3.7,3.9,4.3,4.9,5.7,6.0,6.6,7.1,6.1,9.6,7.9,6.8,8.2,8.6,8.8 ,Infections
Slovakia,,4.3,3.9,2.4,,4.7,4.7,4.4,4.0,4.0,3.4,3.3,4.0,3.1,2.8,2.8 ,Infections
Slovenia,3.0,,2.4,2.3,1.8,2.1,2.4,3.6,4.4,4.1,6.0,3.2,3.4,3.7,4.0,3.4 ,Infections
South Africa,,208.0,219.8,232.6,258.9,294.1,320.8,365.4,344.8,360.8,332.0,316.1,304.5,272.7,, ,Infections
Spain,,6.2,6.1,6.6,6.9,7.0,7.8,8.9,9.4,9.2,9.9,10.0,10.4,10.1,10.2,10.2 ,Infections
Sri Lanka,,,,,,,,,,17.6,,,23.3,23.0,23.2,25.2 ,Infections
Suriname,,,,,,,,,,,,,,,, ,Infections
Sweden,8.6,7.7,8.6,8.5,7.7,7.8,7.8,7.1,7.0,5.9,6.1,5.2,5.5,5.8,5.1,4.9 ,Infections
Switzerland,,,4.2,4.2,4.5,4.3,4.2,4.4,4.3,4.4,4.0,4.5,5.1,5.1,5.6,6 ,Infections
Syrian Arab Republic,,,,,,,,,,,,,,,, ,Infections
Tajikistan,,,,,,,,,,,,,,,, ,Infections
TFYR Macedonia,,,2.6,3.4,2.4,2.8,2.6,3.8,4.1,4.1,4.8,6.1,6.9,6.7,7.3,8 ,Infections
Thailand,,54.0,57.4,60.9,60.0,61.7,58.6,60.0,59.7,56.9,61.8,68.8,78.6,70.7,,51.8 ,Infections
Trinidad and Tobago,,,,,,29.8,30.8,33.1,30.8,37.2,37.1,36.4,46.0,53.5,56.6,57.5 ,Infections
Tunisia,,,,,,,,,,,,,,,, ,Infections
Turkey,,,8.7,8.0,7.4,7.4,7.1,,,,,,,,, ,Infections
Turkmenistan,,16.7,15.1,15.7,20.4,24.6,23.1,20.8,21.6,21.4,24.9,25.7,27.4,29.5,38.7,41.4 ,Infections
Turks and Caicos Islands,,,,,,,,,,,,,,,, ,Infections
Ukraine,,22.4,,27.1,27.7,28.8,29.9,34.0,33.2,32.1,33.8,29.4,27.1,24.6,25.3,23.6 ,Infections
United Arab Emirates,,,,,,30.0,28.8,27.1,33.1,37.0,28.0,,,,, ,Infections
United Kingdom,,,4.7,4.5,4.9,4.7,5.5,6.1,7.2,6.8,5.9,5.2,5.2,4.8,4.9,4.5 ,Infections
United States of America,,13.3,13.6,13.5,13.8,14.0,14.8,14.8,14.9,15.2,15.4,15.4,15.7,15.8,15.3,15.2 ,Infections
Uruguay,,13.6,14.4,16.1,,16.3,15.0,14.9,15.7,12.3,15.0,15.7,16.3,15.3,16.2,15.8 ,Infections
Uzbekistan,,11.6,11.6,12.0,12.7,13.6,14.7,,,,18.9,19.2,22.4,24.7,25.1,25.6 ,Infections
Venezuela (Bolivarian Republic of),,,22.2,22.9,24.1,24.0,23.5,24.9,26.3,26.1,26.9,29.1,33.1,28.1,30.8,31.5 ,Infections
Virgin Islands (USA),,,,,,,,,,,,,,,, ,Infections
Zimbabwe,,,,,,,,,,,,,,,, ,Infections
Total reporting countries,,,,,,,,,,,,,,,, ,Infections
