Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Spain,,251.5,253.5,266.4,269.1,270.3,281.0,290.5,295.9,294.6,315.3,313.2,335.1,328.7,330.5,339.9 ,All
Sri Lanka,,,,,,,,,,507.6,,,525.8,519.8,534.3,566.3 ,All
Suriname,,,,,,,,,,,,,,,, ,All
Sweden,307.4,303.0,313.7,319.6,313.6,319.3,323.9,331.3,337.1,338.5,344.1,353.0,356.2,368.5,367.6,369.2 ,All
Switzerland,,,275.8,279.9,276.6,282.3,288.4,289.4,296.0,300.3,306.7,312.3,330.8,327.8,330.9,344.5 ,All
Syrian Arab Republic,,,,,,,,,,,,,,,, ,All
Tajikistan,,,,,,,,,,,,,,,, ,All
TFYR Macedonia,,,573.5,619.0,604.8,600.0,625.3,639.0,676.3,649.5,672.5,672.3,678.7,690.3,638.2,690.1 ,All
Thailand,,438.4,448.0,461.7,478.6,495.8,490.1,510.6,513.9,484.3,508.3,520.6,515.8,526.9,,535 ,All
Trinidad and Tobago,,,,,,569.9,549.0,602.1,578.1,595.5,611.1,635.5,674.5,658.8,690.6,698.7 ,All
Tunisia,,,,,,,,,,,,,,,, ,All
Turkey,,,384.9,361.8,367.5,365.4,365.6,,,,,,,,, ,All
Turkmenistan,,668.7,665.5,669.9,671.9,661.4,665.1,713.7,713.6,713.9,748.9,737.4,745.7,763.7,729.8,750.9 ,All
Turks and Caicos Islands,,,,,,,,,,,,,,,, ,All
Ukraine,,604.4,,615.3,625.8,667.3,679.9,722.6,735.2,741.8,768.0,754.4,768.4,754.2,743.1,756.3 ,All
United Arab Emirates,,,,,,556.9,505.7,531.5,552.2,547.8,560.0,,,,, ,All
United Kingdom,,,343.8,346.5,341.3,353.7,358.1,378.0,380.0,385.5,399.1,406.4,428.6,425.6,428.8,432 ,All
United States of America,,388.3,390.5,390.6,394.9,395.3,400.0,412.7,405.5,413.3,423.9,425.3,440.8,445.9,450.3,456.3 ,All
Uruguay,,395.1,411.9,417.7,,422.3,409.8,427.5,458.1,426.9,461.3,469.3,479.2,463.8,473.4,465.6 ,All
Uzbekistan,,570.9,571.2,580.6,590.8,589.6,581.6,,,,766.2,729.1,776.5,792.4,770.8,799.3 ,All
Venezuela (Bolivarian Republic of),,,430.1,433.4,445.5,444.3,434.0,442.8,439.6,445.4,457.2,470.3,502.7,485.6,499.8,493.8 ,All
Virgin Islands (USA),,,,,,,,,,,,,,,, ,All
Zimbabwe,,,,,,,,,,,,,,,, ,All
Total reporting countries,,,,,,,,,,,,,,,, ,All
