Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Norway,,6.2,6.7,7.2,6.8,7.2,7.1,6.8,6.8,5.8,5.9,5.1,5.0,5.2,4.6,5.4 ,Infections
Occupied Palestinian Territory,,,,,,,,,,,,,,,, ,Infections
Oman,,,,,,26.2,15.2,,,,,,,,, ,Infections
Panama,,22.1,22.7,20.4,25.2,24.7,24.9,23.2,26.7,20.2,24.1,21.0,19.3,19.5,22.5,20.6 ,Infections
Paraguay,,11.3,20.4,16.9,18.4,17.2,16.6,17.2,16.3,16.4,18.1,17.8,16.6,13.3,16.3,17.2 ,Infections
Peru,,,,,,,,,,,,,,,, ,Infections
Philippines,,,,,49.4,52.8,54.7,51.4,51.0,51.8,,,54.1,60.5,60.7,64.8 ,Infections
Poland,,2.1,2.1,3.0,3.7,3.2,3.5,3.4,2.8,3.0,2.9,2.8,3.0,3.3,3.2,3.3 ,Infections
Portugal,,6.4,7.7,7.1,7.4,8.5,9.1,9.3,8.5,,,,8.9,7.3,7.3,9.6 ,Infections
Puerto Rico,,16.4,16.3,17.2,17.5,17.7,19.5,19.7,20.2,20.1,22.4,21.4,19.7,22.1,24.5,22.4 ,Infections
Qatar,,7.8,3.9,5.2,6.8,10.9,4.8,4.6,6.7,4.1,4.4,15.2,,,36.1, ,Infections
Republic of Korea,,,6.8,7.5,7.5,7.7,7.2,6.6,6.4,6.8,7.2,6.4,6.7,7.7,8.2,9.2 ,Infections
Republic of Moldova,6.2,5.1,4.6,5.0,5.5,6.1,8.5,7.7,7.9,7.3,8.0,8.1,8.0,7.3,7.3,7.8 ,Infections
Reunion,,,6.2,8.5,6.5,7.9,6.4,6.9,11.0,23.9,10.4,8.1,7.7,8.8,6.2, ,Infections
Rodrigues,,,,,,,,,,,,,,,, ,Infections
Romania,5.1,5.2,4.4,4.8,4.5,4.5,4.0,4.6,4.6,4.8,5.4,6.0,6.3,7.2,7.5,7.8 ,Infections
Russian Federation,,,,,10.0,9.9,9.4,9.2,9.3,9.2,9.8,9.0,8.8,8.7,8.1,8.2 ,Infections
Saint Kitts and Nevis,,,,,,,,,,,,,,,, ,Infections
Saint Lucia,,,,,,,,,,,,,,,, ,Infections
Saint Pierre and Miquelon,,,,,,,,,,,,,,,, ,Infections
Saint Vincent and Grenadines,,,,,,,,,,,,,,,, ,Infections
San Marino,,,,,,,,,,,,,,,, ,Infections
Sao Tome and Principe,,,,,,,,,,,,,,,, ,Infections
Saudi Arabia,,,,,,,,,,,,,,,, ,Infections
Serbia,,3.1,3.2,2.5,2.6,2.7,2.1,2.2,2.4,2.7,3.1,3.0,3.6,3.0,2.9,3.5 ,Infections
Seychelles,,,,,,,,,,,,,,,, ,Infections
Singapore,2.2,2.1,2.2,2.9,3.4,4.9,4.4,5.1,4.9,5.6,7.6,6.0,4.8,6.5,6.8,7.3 ,Infections
Slovakia,,3.6,3.1,1.8,,3.7,4.1,3.6,3.2,3.2,2.7,2.1,2.8,2.1,2.2,2.1 ,Infections
Slovenia,2.7,,1.9,2.1,1.7,1.4,2.2,2.6,3.7,3.7,5.0,2.3,2.3,2.3,2.9,2.2 ,Infections
South Africa,,178.1,190.8,201.5,229.1,264.5,288.2,331.4,320.4,336.4,311.0,295.5,279.3,248.8,, ,Infections
Spain,,4.8,4.4,4.9,5.1,4.9,5.6,6.4,6.6,6.4,6.5,6.6,7.3,6.6,6.8,6.5 ,Infections
Sri Lanka,,,,,,,,,,11.9,,,15.4,16.1,15.8,17.6 ,Infections
Suriname,,,,,,,,,,,,,,,, ,Infections
Sweden,7.0,6.3,7.4,6.9,6.4,6.6,6.8,6.0,5.9,5.0,4.9,4.2,4.7,5.2,4.4,3.9 ,Infections
Switzerland,,,3.6,3.6,3.7,3.3,3.5,3.5,3.4,3.5,3.3,3.5,3.9,3.9,3.9,5.1 ,Infections
Syrian Arab Republic,,,,,,,,,,,,,,,, ,Infections
Tajikistan,,,,,,,,,,,,,,,, ,Infections
TFYR Macedonia,,,2.0,2.7,1.8,1.6,1.5,3.5,3.3,2.0,3.6,4.3,5.0,5.6,4.6,6.5 ,Infections
Thailand,,43.1,46.1,50.3,49.6,52.2,49.3,50.2,50.2,47.7,51.2,56.3,64.1,56.0,,37.2 ,Infections
Trinidad and Tobago,,,,,,23.8,26.9,28.9,22.5,29.2,27.5,24.7,35.1,40.1,42.9,39.3 ,Infections
Tunisia,,,,,,,,,,,,,,,, ,Infections
Turkey,,,7.1,6.7,6.1,6.0,5.8,,,,,,,,, ,Infections
Turkmenistan,,11.6,9.1,9.4,13.3,15.4,14.5,14.1,12.5,11.2,14.1,15.2,14.9,19.1,22.6,25 ,Infections
Turks and Caicos Islands,,,,,,,,,,,,,,,, ,Infections
Ukraine,,11.9,,14.2,13.5,13.9,14.1,15.8,15.2,14.0,13.9,11.9,10.4,9.2,8.2,6.9 ,Infections
United Arab Emirates,,,,,,39.0,35.2,31.2,42.0,47.0,37.7,,,,, ,Infections
United Kingdom,,,4.3,4.1,4.4,4.2,4.9,5.4,6.6,6.2,5.3,4.8,4.5,4.1,4.2,4 ,Infections
United States of America,,11.3,11.4,11.2,11.6,11.6,12.2,12.2,12.0,12.1,12.1,12.1,12.2,12.2,11.7,11.5 ,Infections
Uruguay,,10.0,11.2,11.8,,11.9,11.0,10.9,10.4,8.3,10.0,12.0,11.6,10.3,11.3,10.2 ,Infections
Uzbekistan,,7.6,7.6,7.6,7.7,9.0,9.7,,,,12.6,13.2,15.0,17.0,16.7,17.2 ,Infections
Venezuela (Bolivarian Republic of),,,15.7,15.8,17.0,16.7,16.4,18.2,18.5,18.6,19.1,21.4,24.4,20.9,22.6,22 ,Infections
Virgin Islands (USA),,,,,,,,,,,,,,,, ,Infections
Zimbabwe,,,,,,,,,,,,,,,, ,Infections
Total reporting countries,,,,,,,,,,,,,,,, ,Infections
