Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Russian Federation,,,,,196.9,200.2,205.6,203.7,205.1,205.7,209.8,212.1,213.9,215.8,218.0,223.5 ,Neoplazm
Saint Kitts and Nevis,,,,,,,,,,,,,,,, ,Neoplazm
Saint Lucia,,,,,,,,,,,,,,,, ,Neoplazm
Saint Pierre and Miquelon,,,,,,,,,,,,,,,, ,Neoplazm
Saint Vincent and Grenadines,,,,,,,,,,,,,,,, ,Neoplazm
San Marino,,,,,,,,,,,,,,,, ,Neoplazm
Sao Tome and Principe,,,,,,,,,,,,,,,, ,Neoplazm
Saudi Arabia,,,,,,,,,,,,,,,, ,Neoplazm
Serbia,,196.9,198.7,199.8,201.8,207.1,205.8,203.7,204.5,201.7,198.1,193.8,191.2,192.0,185.5,186.7 ,Neoplazm
Seychelles,,,,,,,,,,,,,,,, ,Neoplazm
Singapore,121.1,124.7,131.9,131.3,131.6,131.6,137.2,146.0,144.2,139.9,132.9,144.9,150.3,162.1,166.6,177.2 ,Neoplazm
Slovakia,,214.8,222.8,215.8,,217.5,212.9,219.8,223.8,225.2,233.1,232.4,236.7,238.6,251.8,250.8 ,Neoplazm
Slovenia,189.7,,194.9,193.6,200.0,205.2,211.5,211.8,221.7,212.6,209.6,216.2,223.7,228.2,224.6,227 ,Neoplazm
South Africa,,135.7,133.9,137.4,136.5,138.0,138.9,134.2,139.8,139.3,143.9,148.3,149.1,150.5,, ,Neoplazm
Spain,,156.6,160.8,166.0,168.9,170.4,171.3,173.4,177.7,179.4,182.5,188.3,191.4,192.5,197.3,195.6 ,Neoplazm
Sri Lanka,,,,,,,,,,66.2,,,56.9,54.7,56.0,54.4 ,Neoplazm
Suriname,,,,,,,,,,,,,,,, ,Neoplazm
Sweden,123.2,123.4,123.0,126.5,127.4,127.4,131.0,132.4,133.7,139.0,141.8,141.6,145.4,142.2,144.9,145.6 ,Neoplazm
Switzerland,,,129.2,130.7,136.9,136.7,136.9,142.3,145.0,145.3,149.1,150.8,154.4,152.9,164.3,165.9 ,Neoplazm
Syrian Arab Republic,,,,,,,,,,,,,,,, ,Neoplazm
Tajikistan,,,,,,,,,,,,,,,, ,Neoplazm
TFYR Macedonia,,,160.5,167.6,165.6,171.0,176.2,171.2,170.4,170.1,164.1,163.2,172.3,174.2,169.1,168.3 ,Neoplazm
Thailand,,113.8,114.6,112.0,111.5,109.2,109.3,109.6,108.1,94.8,95.8,97.9,100.3,100.1,,85.1 ,Neoplazm
Trinidad and Tobago,,,,,,152.4,140.7,142.2,146.6,142.8,153.3,150.7,157.9,154.8,145.8,143.7 ,Neoplazm
Tunisia,,,,,,,,,,,,,,,, ,Neoplazm
Turkey,,,150.2,139.9,140.9,138.9,134.9,,,,,,,,, ,Neoplazm
Turkmenistan,,78.3,75.8,80.7,86.7,93.7,89.0,71.0,72.9,74.0,74.8,78.1,75.5,83.6,84.4,88.3 ,Neoplazm
Turks and Caicos Islands,,,,,,,,,,,,,,,, ,Neoplazm
Ukraine,,171.6,,181.0,175.0,175.1,175.3,176.4,178.9,180.9,184.9,184.8,186.4,190.7,192.3,197.7 ,Neoplazm
United Arab Emirates,,,,,,52.1,59.2,59.9,74.6,54.4,60.3,,,,, ,Neoplazm
United Kingdom,,,151.1,153.6,154.8,156.3,159.1,162.1,164.5,167.2,167.9,172.2,175.9,179.8,181.4,177 ,Neoplazm
United States of America,,131.4,133.3,136.2,138.5,142.0,143.7,146.7,150.2,152.0,155.3,157.2,161.1,164.8,168.0,171.4 ,Neoplazm
Uruguay,,198.2,197.5,198.4,,203.1,202.4,201.9,213.3,209.9,213.3,213.7,219.7,217.2,216.9,222.1 ,Neoplazm
Uzbekistan,,63.0,59.2,60.1,61.4,58.6,58.9,,,,68.3,67.0,69.9,72.5,73.5,77.3 ,Neoplazm
Venezuela (Bolivarian Republic of),,,121.9,124.6,127.3,127.3,123.1,125.3,125.1,124.2,123.2,123.9,123.1,120.2,122.8,123.5 ,Neoplazm
Virgin Islands (USA),,,,,,,,,,,,,,,, ,Neoplazm
Zimbabwe,,,,,,,,,,,,,,,, ,Neoplazm
Total reporting countries,,,,,,,,,,,,,,,, ,Neoplazm
