Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Sri Lanka,,,,,,,,,,24.2,,,31.9,30.4,31.0,33.2 ,Infections
Suriname,,,,,,,,,,,,,,,, ,Infections
Sweden,10.6,9.6,10.1,10.7,9.4,9.4,9.2,8.6,8.5,7.1,7.6,6.4,6.5,6.6,6.0,6.2 ,Infections
Switzerland,,,4.9,4.8,5.5,5.5,5.1,5.5,5.3,5.4,5.0,5.6,6.4,6.3,7.6,7 ,Infections
Syrian Arab Republic,,,,,,,,,,,,,,,, ,Infections
Tajikistan,,,,,,,,,,,,,,,, ,Infections
TFYR Macedonia,,,3.2,4.3,3.2,4.0,3.7,4.2,5.2,6.3,6.1,8.2,9.2,8.0,10.3,9.9 ,Infections
Thailand,,66.3,69.9,72.8,71.4,72.2,69.1,70.9,70.1,66.7,73.0,82.0,94.1,86.3,,67.3 ,Infections
Trinidad and Tobago,,,,,,37.6,35.3,37.4,39.7,45.8,47.8,49.6,58.0,68.0,71.1,77.6 ,Infections
Tunisia,,,,,,,,,,,,,,,, ,Infections
Turkey,,,10.6,9.4,8.9,9.1,8.8,,,,,,,,, ,Infections
Turkmenistan,,22.4,22.1,23.0,28.6,35.5,32.8,27.9,31.7,32.6,36.5,37.0,41.2,40.8,55.7,60.1 ,Infections
Turks and Caicos Islands,,,,,,,,,,,,,,,, ,Infections
Ukraine,,34.2,,41.8,43.6,45.5,47.7,54.6,53.6,52.7,56.3,49.5,46.3,42.5,44.8,42.7 ,Infections
United Arab Emirates,,,,,,27.1,24.8,26.9,26.9,32.4,26.7,,,,, ,Infections
United Kingdom,,,5.2,4.9,5.4,5.3,6.1,6.8,7.8,7.6,6.6,5.8,6.0,5.7,5.8,5.2 ,Infections
United States of America,,15.6,16.0,15.9,16.2,16.6,17.5,17.6,18.1,18.5,18.9,19.0,19.4,19.8,19.3,19.3 ,Infections
Uruguay,,18.0,18.3,21.3,,21.8,19.7,19.9,22.1,16.6,20.8,20.1,21.9,21.2,21.5,22.6 ,Infections
Uzbekistan,,16.2,16.2,17.0,18.5,18.8,20.2,,,,25.7,25.6,30.1,33.0,34.0,34.5 ,Infections
Venezuela (Bolivarian Republic of),,,29.4,31.0,32.1,32.3,31.4,32.4,35.1,34.4,35.9,37.8,43.0,36.1,39.9,42.1 ,Infections
Virgin Islands (USA),,,,,,,,,,,,,,,, ,Infections
Zimbabwe,,,,,,,,,,,,,,,, ,Infections
Total reporting countries,,,,,,,,,,,,,,,, ,Infections
