Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Montenegro,,,,,,,771.8,799.0,843.4,873.2,895.1,890.3,875.4,879.5,845.2,866.2 ,All
Montserrat,,,,,,,,,,,,,,,, ,All
Morocco,,,,,,,,,,,,,,,, ,All
Netherlands,457.9,461.5,470.2,482.1,478.4,498.8,509.4,521.8,537.1,557.6,582.7,597.9,636.3,648.4,655.7,673.6 ,All
Netherlands Antilles,,,,,,,,,,,,,,,, ,All
New Zealand,,,,453.2,464.2,461.3,487.5,500.9,510.5,516.6,516.0,557.8,567.3,589.9,606.0,607 ,All
Nicaragua,,,,,,,,,,,,,,,, ,All
Norway,,444.4,459.9,470.8,484.9,491.9,501.2,520.3,525.3,524.2,545.0,557.1,582.2,617.8,625.5,636.4 ,All
Occupied Palestinian Territory,,,,,,,,,,,,,,,, ,All
Oman,,,,,,550.0,694.6,,,,,,,,, ,All
Panama,,570.5,573.5,590.0,573.9,603.4,584.6,584.4,590.2,591.1,593.3,591.5,606.9,585.4,604.4,594 ,All
Paraguay,,603.7,634.9,609.9,628.9,666.8,654.2,616.1,634.6,631.8,641.7,645.9,614.8,602.7,609.1,644 ,All
Peru,,,,,,,,,,,,,,,, ,All
Philippines,,,,,1136.1,1167.2,1194.6,1196.5,1191.3,1250.5,,,1223.1,1253.4,1241.1,1237.7 ,All
Poland,,733.1,773.9,791.8,795.8,819.8,860.4,872.8,891.4,894.8,911.5,922.7,940.5,939.7,965.2,995 ,All
Portugal,,522.9,553.1,565.6,562.5,591.4,602.9,618.1,630.8,,,,721.1,730.0,739.9,761.9 ,All
Puerto Rico,,643.1,636.2,654.6,674.6,662.4,683.2,669.7,686.4,679.4,714.6,701.3,690.5,699.6,743.2,730.4 ,All
Qatar,,403.7,369.3,322.4,374.9,413.3,471.6,497.2,473.5,533.3,605.4,541.7,,,716.2, ,All
Republic of Korea,,,516.0,546.5,554.8,575.2,580.2,608.0,629.6,651.5,680.6,709.8,736.4,769.6,789.0,831.3 ,All
