Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Finland,2012,104,A,M,00,6327,1,0,0,0,1,3,5,4,12,12,19,22,41,105,195,352,709,1008,985,967,1030,603,214,39,0
Finland,2012,104,B,F,00,26091,68,12,1,7,1,18,11,41,57,68,66,95,144,258,437,729,1134,1400,1792,2584,4619,5976,4486,2087,0
Finland,2012,104,A,F,00,5747,1,1,0,0,0,5,3,2,8,14,16,37,56,106,190,317,531,688,767,835,885,797,382,106,0
Finland,2012,104,B,M,00,25646,73,8,5,3,3,12,17,78,145,170,185,231,351,630,905,1478,2352,2739,2899,3401,4284,3535,1671,471,0
Germany,2012,104,A,M,00,123207,9,4,11,7,12,50,61,75,113,142,224,376,1003,2586,5146,8265,11724,14164,23249,21891,18805,10914,3743,633,0
Germany,2012,104,B,F,00,453159,995,66,46,40,31,130,113,314,460,564,766,1177,2633,5283,8365,11216,15572,19394,37960,53017,79673,105808,77107,32429,0
Germany,2012,104,A,F,00,105082,21,13,5,5,7,35,24,47,65,131,237,495,1228,2589,4441,6040,8025,9448,15596,16225,16676,14726,7159,1844,0
Germany,2012,104,B,M,00,416423,1207,99,52,39,51,167,213,706,1236,1372,1685,2172,4770,9607,15483,21569,28875,34259,61058,68492,74317,55588,26552,6854,0
Japan,2012,104,B,M,00,655526,1222,183,94,104,77,292,303,920,1779,2180,2647,4408,6666,9019,13629,22618,47266,55541,74490,103528,125465,106537,53525,22601,432
Japan,2012,104,A,M,00,220764,17,10,14,18,16,64,66,110,119,181,332,683,1328,2187,4401,9123,21976,26650,33520,40797,40458,26258,9743,2676,17
Japan,2012,104,B,F,00,600833,1077,173,99,81,66,205,206,449,697,1023,1418,2397,3680,4821,7141,10598,20225,24620,37017,60816,96080,128391,117375,82063,115
Japan,2012,104,A,F,00,151175,19,12,13,17,15,52,57,72,82,177,391,937,1760,2502,3975,6277,11430,12567,16211,21393,25987,25309,15618,6294,8
Netherlands,2012,104,B,M,00,67907,361,33,19,12,14,59,60,125,237,238,311,372,757,1278,2117,3249,4914,6764,7964,10171,12071,10076,5341,1364,0
Netherlands,2012,104,A,M,00,24161,2,2,2,2,2,17,17,16,24,32,64,84,228,453,880,1550,2493,3425,3723,4047,3712,2363,872,151,0
Netherlands,2012,104,B,F,00,72906,288,18,12,11,8,36,39,74,93,98,178,277,579,1084,1658,2393,3479,4434,5291,7777,12063,15298,12187,5531,0
Netherlands,2012,104,A,F,00,20508,7,1,4,4,3,14,14,16,16,29,71,119,291,589,1023,1465,2076,2469,2506,2703,2941,2494,1301,352,0
Norway,2012,104,B,M,00,20025,88,9,3,5,0,13,19,52,106,106,140,174,233,342,577,825,1330,1818,1890,2450,3514,3544,2206,581,0
Norway,2012,104,A,M,00,5890,1,2,0,1,0,3,4,4,4,5,16,21,47,92,166,324,548,748,790,849,1062,771,371,61,0
Norway,2012,104,B,F,00,21888,62,9,4,2,3,12,19,25,32,39,46,82,144,231,336,521,807,1203,1394,1948,3341,4789,4621,2218,0
Norway,2012,104,A,F,00,5172,2,0,0,2,1,5,6,4,4,10,12,39,61,117,177,295,436,626,639,642,799,723,435,137,0
South Africa,2012,103,A,U,00,55,1,0,0,0,0,0,0,2,0,1,4,6,2,5,4,5,2,3,3,0,1,0,0,0,16
South Africa,2012,103,B,F,00,233355,12275,2456,1071,763,650,2227,1898,3405,7786,14171,16072,15633,14003,13602,13653,13442,14359,13844,16300,16279,16673,11096,7924,3045,728
South Africa,2012,103,A,F,00,19105,27,23,16,16,17,57,54,103,179,405,642,861,1127,1404,1853,1962,2142,2030,2078,1669,1276,717,343,69,35
South Africa,2012,103,B,M,00,255613,14256,2784,1193,877,714,2638,2241,4101,8388,14566,18058,20618,19693,19177,19777,19895,20105,16954,16157,11961,9924,5773,3234,1051,1478
South Africa,2012,103,A,M,00,19300,36,23,16,24,27,79,55,113,150,268,382,527,765,1156,1735,2217,2671,2446,2443,1845,1264,673,281,63,41
South Africa,2012,103,B,U,00,2132,524,29,8,4,7,4,4,19,83,123,153,114,95,84,69,51,30,23,14,18,11,10,3,4,648
