Country,Cause group,Year,ICD rev and list,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Japan,B,2014,208,0,1273004,2080,349,199.0,122.0,133.0,460,501,1205,2320,2873,3896,5879,10065,13726,19841,30315,57310,85193,114866,156782,221045,249725,186121.0,107528.0,470
Netherlands,A,2007,208,0,40894,7,6,6.0,7.0,5.0,26,28,31,57,68,142,285,555,1104,1871,3095,4238,4714,5719,6646,6132,4140,1617.0,395.0,0
Netherlands,A,2008,208,0,41874,7,4,4.0,12.0,6.0,31,25,37,42,79,123,292,594,1105,1983,3096,4559,4927,5802,6575,6122,4292,1738.0,419.0,0
Netherlands,A,2009,208,0,42396,9,6,6.0,7.0,4.0,27,17,32,49,84,112,255,556,1068,1956,2925,4764,5092,5860,6627,6279,4474,1738.0,449.0,0
Netherlands,A,2010,208,0,43521,7,4,9.0,4.0,4.0,25,27,28,41,64,105,287,549,1084,1879,3010,4758,5406,6001,6809,6474,4631,1802.0,513.0,0
Netherlands,A,2011,208,0,44042,5,7,6.0,6.0,4.0,23,33,35,41,58,122,251,578,1068,1909,3014,4688,5478,6102,6727,6719,4721,1976.0,471.0,0
Netherlands,A,2012,208,0,44669,9,3,6.0,6.0,5.0,31,31,32,40,61,135,203,519,1042,1903,3015,4569,5894,6229,6750,6653,4857,2173.0,503.0,0
Netherlands,A,2013,208,0,44156,6,3,5.0,6.0,3.0,21,24,34,37,54,115,203,471,945,1889,2915,4396,6096,6174,6516,6688,4826,2247.0,482.0,0
Netherlands,A,2014,208,0,44808,4,6,3.0,5.0,7.0,22,22,33,31,69,95,201,479,943,1773,2848,4316,6292,6319,6714,6664,5060,2354.0,548.0,0
Netherlands,B,2007,208,0,133022,736,59,31.0,28.0,28.0,88,110,253,359,353,523,933,1454,2489,3756,6007,8021,9696,13304,19078,23720,22697,13932.0,5367.0,0
